symbol,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,processed_date,processing_batch,batch_number,SYMBOL
AVL,73.11,74.35,86.0,59.86,66.0,,20250812_1012,5,AVL
ADOR,10.0,10.0,10.0,10.0,10.0,2025-08-11,20250811_2219,1,ADOR
AFFLE,10.0,10.0,10.0,10.0,10.0,2025-08-11,20250811_2224,1,AFFLE
ALIVUS,55.45,52.14,59.0,54.24,60.0,,20250812_0237,1,ALIVUS
ANANDRATHI,50.33,50.65,47.0,56.59,46.67,,20250812_0419,2,ANANDRATHI
ANANTRAJ,51.15,49.0,44.17,55.3,63.0,,20250812_0429,2,ANANTRAJ
ANGELONE,48.22,47.61,40.83,52.83,56.0,,20250812_0509,2,ANGELONE
APLAPOLLO,10.0,10.0,10.0,10.0,10.0,,20250812_0843,2,APLAPOLLO
APOLLOHOSP,51.11,51.2,45.83,55.87,53.33,,20250812_0902,3,APOLLOHOSP
APOLLO,54.74,51.67,59.0,56.14,54.0,,20250812_0852,2,APOLLO
APOLLOTYRE,53.44,54.57,51.0,53.68,54.17,,20250812_0924,3,APOLLOTYRE
ARTEMISMED,50.87,51.3,47.0,56.14,49.17,,20250812_0936,3,ARTEMISMED
ARVINDFASN,50.43,47.61,47.0,55.45,57.0,,20250812_0939,3,ARVINDFASN
ASHOKLEY,71.08,74.57,82.0,59.41,59.17,,20250812_0946,4,ASHOKLEY
ASTRAMICRO,71.97,73.91,94.0,57.05,50.0,,20250812_0954,4,ASTRAMICRO
ATHERENERG,63.36,53.7,85.0,53.64,66.0,,20250812_0958,5,ATHERENERG
AXISBANK,52.47,51.19,47.0,54.71,62.0,,20250812_1016,6,AXISBANK
BAJAJ-AUTO,52.35,51.96,47.0,56.59,56.67,,20250812_1028,6,BAJAJ-AUTO
BAJFINANCE,51.99,50.65,47.0,55.53,59.17,,20250812_1035,7,BAJFINANCE
BAJAJFINSV,52.46,50.71,47.0,54.86,63.0,,20250812_1030,7,BAJAJFINSV
