ADANIENT	ADANI ENTERPRISES LIMITED
ADANIPORTS	ADANI PORT & SEZ LTD
APOLLOHOSP	APOLLO HOSPITALS ENTER. L
ASIANPAINT	ASIAN PAINTS LIMITED
AXISBANK	AXIS BANK LIMITED
BAJAJ-AUTO	BAJAJ AUTO LIMITED
BAJAJFINSV	BAJAJ FINSERV LTD.
BAJFINANCE	BAJAJ FINANCE LIMITED
BEL	BHARAT ELECTRONICS LTD
BHARTIARTL	BHARTI AIRTEL LIMITED
CIPLA	CIPLA LTD
COALINDIA	COAL INDIA LTD
DRREDDY	DR. REDDY S LABORATORIES
EICHERMOT	EICHER MOTORS LTD
ETERNAL	ETERNAL LIMITED
GRASIM	GRASIM INDUSTRIES LTD
HCLTECH	HCL TECHNOLOGIES LTD
HDFCBANK	HDFC BANK LTD
HDFCLIFE	HDFC LIFE INS CO LTD
HEROMOTOCO	HERO MOTOCORP LIMITED
HINDALCO	HINDALCO  INDUSTRIES  LTD
HINDUNILVR	HINDUSTAN UNILEVER LTD.
ICICIBANK	ICICI BANK LTD.
INDUSINDBK	INDUSIND BANK LIMITED
INFY	INFOSYS LIMITED
ITC	ITC LTD
JIOFIN	JIO FIN SERVICES LTD
JSWSTEEL	JSW STEEL LIMITED
KOTAKBANK	KOTAK MAHINDRA BANK LTD
LT	LARSEN & TOUBRO LTD.
M&M	MAHINDRA & MAHINDRA LTD
MARUTI	MARUTI SUZUKI INDIA LTD.
NESTLEIND	NESTLE INDIA LIMITED
NTPC	NTPC LTD
ONGC	OIL AND NATURAL GAS CORP.
POWERGRID	POWER GRID CORP. LTD.
RELIANCE	RELIANCE INDUSTRIES LTD
SBILIFE	SBI LIFE INSURANCE CO LTD
SBIN	STATE BANK OF INDIA
SHRIRAMFIN	SHRIRAM FINANCE LIMITED
SUNPHARMA	SUN PHARMACEUTICAL IND L
TATACONSUM	TATA CONSUMER PRODUCT LTD
TATAMOTORS	TATA MOTORS LIMITED
TATASTEEL	TATA STEEL LIMITED
TCS	TATA CONSULTANCY SERV LT
TECHM	TECH MAHINDRA LIMITED
TITAN	TITAN COMPANY LIMITED
TRENT	TRENT LTD
ULTRACEMCO	ULTRATECH CEMENT LIMITED
WIPRO	WIPRO LTD
 	 
 	NIFTY Next 50 Sec
ABB	ABB INDIA LIMITED
ADANIENSOL	ADANI ENERGY SOLUTION LTD
ADANIGREEN	ADANI GREEN ENERGY LTD
ADANIPOWER	ADANI POWER LTD
AMBUJACEM	AMBUJA CEMENTS LTD
BAJAJHFL	BAJAJ HOUSING FINANCE LTD
BAJAJHLDNG	BAJAJ HOLDINGS & INVS LTD
BANKBARODA	BANK OF BARODA
BOSCHLTD	BOSCH LIMITED
BPCL	BHARAT PETROLEUM CORP  LT
BRITANNIA	BRITANNIA INDUSTRIES LTD
CANBK	CANARA BANK
CGPOWER	CG POWER AND IND SOL LTD
CHOLAFIN	CHOLAMANDALAM IN & FIN CO
DABUR	DABUR INDIA LTD
DIVISLAB	DIVI S LABORATORIES LTD
DLF	DLF LIMITED
DMART	AVENUE SUPERMARTS LIMITED
GAIL	GAIL (INDIA) LTD
GODREJCP	GODREJ CONSUMER PRODUCTS
HAL	HINDUSTAN AERONAUTICS LTD
HAVELLS	HAVELLS INDIA LIMITED
HYUNDAI	HYUNDAI MOTOR INDIA LTD
ICICIGI	ICICI LOMBARD GIC LIMITED
ICICIPRULI	ICICI PRU LIFE INS CO LTD
INDHOTEL	THE INDIAN HOTELS CO. LTD
INDIGO	INTERGLOBE AVIATION LTD
IOC	INDIAN OIL CORP LTD
IRFC	INDIAN RAILWAY FIN CORP L
JINDALSTEL	JINDAL STEEL LIMITED
JSWENERGY	JSW ENERGY LIMITED
LICI	LIFE INSURA CORP OF INDIA
LODHA	LODHA DEVELOPERS LIMITED
LTIM	LTIMINDTREE LIMITED
MOTHERSON	SAMVRDHNA MTHRSN INTL LTD
NAUKRI	INFO EDGE (I) LTD
PFC	POWER FIN CORP LTD.
PIDILITIND	PIDILITE INDUSTRIES LTD
PNB	PUNJAB NATIONAL BANK
RECLTD	REC LIMITED
SHREECEM	SHREE CEMENT LIMITED
SIEMENS	SIEMENS LTD
SWIGGY	SWIGGY LIMITED
TATAPOWER	TATA POWER CO LTD
TORNTPHARM	TORRENT PHARMACEUTICALS L
TVSMOTOR	TVS MOTOR COMPANY  LTD
UNITDSPR	UNITED SPIRITS LIMITED
VBL	VARUN BEVERAGES LIMITED
VEDL	VEDANTA LIMITED
ZYDUSLIFE	ZYDUS LIFESCIENCES LTD
 	 
 	COMPULSORY ROLLING STOCKS
20MICRONS	20 MICRONS LTD
21STCENMGM	21ST CENTURY MGMT SERVICE
360ONE	360 ONE WAM LIMITED
